league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,28-190,1997,8,6,486,5.4,0,1,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",24-223,2001,27,22,1998,22.2,6,3,9,5,1,1,1,0,0.27,0.14,0.41,0.23,0.36
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,32-037,1994,6,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21-293,2004,15,6,688,7.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,30-213,1995,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,27-092,1999,31,30,2671,29.7,4,5,9,4,0,0,2,0,0.13,0.17,0.3,0.13,0.3
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27-291,1998,26,16,1456,16.2,6,2,8,6,0,0,1,0,0.37,0.12,0.49,0.37,0.49
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,19-026,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,29-013,1997,12,2,328,3.6,2,0,2,2,0,0,2,0,0.55,0.0,0.55,0.55,0.55
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,28-118,1997,26,25,2256,25.1,3,4,7,3,0,0,3,0,0.12,0.16,0.28,0.12,0.28
